timestep,avg_reward,avg_interference,avg_fairness,avg_throughput_bps,avg_latency_ms,energy_efficiency_bits_per_joule
37,0.5607819854182632,1.8,0.6426314920514697,62419682.67924323,30.780889138165644,201518028.98030308
38,0.5725735662489051,1.8,0.6560074154641796,54194659.433926545,24.444529487060358,109079462.17921643
39,0.7278474967116436,1.2,0.7054735210538465,56250725.5925964,33.53670507122175,147695066.75541753
40,0.47855671468612393,2.2,0.7065993573483529,60450955.66653528,25.48752899550945,72995124.14389254
41,0.18800799977088697,2.0,0.8928738313836249,72225427.80305645,28.095125512221237,103447590.79500417
42,0.5658077554739951,2.6,0.7002922642246391,55583713.58657205,24.045462715015912,150815870.19574162
43,0.5615993000630969,2.4,0.853239225342979,87564307.53155693,29.088105223275296,191483023.4802308
44,0.3905028868410133,2.2,0.7977095400553086,60724050.847348,22.094552331351075,149956272.17108658
45,0.6266566207945331,1.2,0.8293177512717602,65083019.898998186,37.38640970515043,91078446.4021754
46,0.5124225925780216,2.8,0.9352427852713183,38416037.15060482,25.402732915422096,65353246.413545944
47,0.3700246838896063,2.2,0.7617526006196097,53486011.55230981,30.440997015686925,95946666.2311128
48,0.6389733736720523,1.6,0.9083645508257082,60450164.78691888,29.162131944896714,131205355.47858898
49,0.8279573925010644,2.6,0.768814423820275,55794023.744246505,24.15766671097535,97960187.89003983
50,0.4034196088061476,1.4,0.7415485506244998,54588497.40303693,26.38962352600769,121735647.45508252
51,0.5712446994308475,2.4,0.9834508709252883,62792517.71112919,26.290292392751034,113515686.43621968
52,0.6281695632663299,0.8,0.6737483682715852,85012467.88819294,39.06358706396297,156169850.85476694
53,0.5586702876441662,2.2,0.6361347842310431,62079681.25984235,31.165610264741343,98054375.42712164
54,0.7822259640310414,2.0,0.9083943702141914,46047914.68640007,28.562658518386364,118126757.56022802
55,0.689506990225109,1.6,0.6272998821416366,71299747.26348367,29.072178688184998,122787698.37831576
56,0.4551691064292179,2.6,0.9348315962812117,61030160.33279437,36.53151011376885,111438321.62697247
57,0.3843118878668148,3.4,0.7748773585428974,58833003.39725641,25.474948382085582,95559520.79233691
58,0.2755400306822139,1.6,0.9662054709167656,70933959.40812537,24.713947840370317,140526697.1208057
59,0.44325915629260526,1.6,0.8886131444487622,74714191.98955786,43.20354695722214,174710613.42208287
60,0.49743854191354603,0.8,0.8441618668031831,69502411.68460837,27.726684985293552,113912014.62337069
61,0.5762254693471507,1.8,0.9797227188231062,53071453.35330795,31.623663075902734,104514475.62801549
62,0.46828141613069807,2.4,0.7586597492208217,66180568.62597628,27.096198794167627,105450313.12719192
63,0.336980282282899,2.4,0.9816347746158532,68496862.35234635,31.31091212983609,97057532.68747737
64,0.63176382834661,2.0,0.6540005109684828,41009819.10943074,22.17405857180421,75735598.45604625
65,0.5142605534740937,1.8,0.7935019767729651,49645727.336552545,28.063512902419852,72349950.65737477
66,0.25805751205481114,2.0,0.7079644889568779,49714958.98859849,23.84348853804756,89143574.30071925
67,0.43437104708966556,3.8,0.8159371115632774,77392773.22439463,29.443421728353496,129050798.49013032
68,0.3941291798885519,2.6,0.6648055511566339,66686776.62755026,29.91644433116671,132359908.84381306
69,0.45934405780652254,2.2,0.9366118641240173,58748447.824451044,30.310807957247686,116958003.63658409
70,0.4503645811738429,2.6,0.938563139725823,62783925.84504726,30.150841723711928,78856391.46755762
71,0.5540821178644475,1.6,0.9820945250893915,63502613.67810945,30.880654911701278,110030004.25130461
72,0.5953585266465704,1.6,0.6618688563532945,60526254.94289203,28.70909192531455,133982072.2941486
73,0.5035592558490428,2.8,0.8493330203619963,45626092.26350562,29.26467992153465,76970505.81008802
74,0.19352764193229813,2.4,0.7896949234801478,56825103.81653331,22.322962347332833,113324938.42043832
75,0.45668922687227553,1.4,0.7377534928176933,59251027.48208128,32.73265335790879,122560481.43412477
76,0.6112775794193259,2.2,0.7406160644536876,55105531.442512944,33.79868233317226,140491744.08521077
77,0.5640809075288,1.8,0.7651174202427009,52707963.86781481,35.12747134543669,88884896.4708232
78,0.5784714811399795,1.6,0.8819702198755812,60441677.534014545,33.79237314818044,127384535.3478021
79,0.7447156093395548,1.4,0.8393144233072618,67727328.95906901,35.53518350777268,108347144.61671327
80,0.5314872430203419,1.4,0.7838726051044524,59085098.86755182,35.99186495866829,111645638.89644656
81,0.4584462423832118,1.2,0.6303733641478488,52519912.086286016,27.208511949672175,115395431.47286476
82,0.6850515703743723,2.2,0.6311061376315829,38899949.69976399,18.081510014687375,76829877.97571442
83,0.49904276491220373,1.4,0.6009357562503113,56301303.39346454,26.09974070262051,123806868.50976025
84,0.4448764708576638,2.2,0.9870797552828345,62436724.181916796,28.128272259790158,102359979.89571995
85,0.46934911908701943,1.4,0.602101527423354,40430352.07380054,24.110792349565905,93436950.56142204
86,0.3415899718648714,2.0,0.6412374984054979,64068466.617071725,30.391513988554486,102055286.67981584
87,0.47663664098241315,2.0,0.7258386227237643,56336173.53675169,33.285608208251986,88586553.1129571
88,0.5258379605333762,2.8,0.9229721007267044,59127496.43466344,22.221633533814536,110108779.59916508
89,0.6292776257390511,1.0,0.9848395143056471,75366819.01192494,32.195958836730554,139621886.7435726
90,0.5554650084622211,1.8,0.9160054235167424,77799688.58078134,33.91207854687406,127233010.78579502
91,0.22955211660046276,1.6,0.8762240929782562,56757844.1011373,35.64804047883667,104613730.21979472
92,0.6116645483460587,1.8,0.8085202669654278,55744665.96092223,34.13985618887351,82555435.89158264
93,0.5432000343910178,1.4,0.6346820847448734,78894805.42765829,36.54986890831215,159357599.31725854
94,0.4888074872264805,2.4,0.9832683172015722,63784464.44462887,25.84219766626331,151136739.56584036
95,0.6226032050090535,1.6,0.9033569655782726,64494965.88569234,35.82638644703929,93418830.96583612
96,0.5983121567789633,3.2,0.8555797541337047,60248179.87386193,25.833091300785846,114372475.8306975
97,0.6136485696784304,1.6,0.9036143382155399,54753495.14816304,25.506172452524716,84279467.32596682
98,0.4009980196464252,3.2,0.8896413317092554,80091062.57760826,17.319683298717784,125586891.42970987
99,0.5950697057975358,1.8,0.8548926319157948,49509919.07525553,37.2547573153582,94931969.43000193
